Pixel Index,ANOVA Score,p-value,Status,Rank
598,21.906255896197926,1.9897821772176701e-25,Kept,108.0
1649,21.8692305109683,2.2075148222480185e-25,Kept,109.0
1215,21.84236825268248,2.3802522534984857e-25,Kept,110.0
648,21.741461855012815,3.1588806843515533e-25,Kept,111.0
2076,21.730336525619208,3.2590029407399107e-25,Kept,112.0
791,21.708699967127373,3.4628995638137207e-25,Kept,113.0
550,21.657364694720897,3.999181503324791e-25,Kept,114.0
2126,21.559450457047188,5.263104665565323e-25,Kept,115.0
1696,21.542583358744423,5.518084612642382e-25,Kept,116.0
2077,21.540557305202345,5.549532012317021e-25,Kept,117.0
1400,21.495237874833634,6.301759176326919e-25,Kept,118.0
1116,21.46370494465894,6.884519998936617e-25,Kept,119.0
698,21.454582226826926,7.062956956900087e-25,Kept,120.0
840,21.447243562269037,7.209849736454625e-25,Kept,121.0
503,21.426073287596772,7.650944160640646e-25,Kept,122.0
649,21.389708920759755,8.472527260206247e-25,Kept,123.0
646,21.36637125197186,9.045703942302771e-25,Kept,124.0
2271,21.354726296629853,9.346048434085053e-25,Kept,125.0
694,21.32248074481512,1.0230788322771482e-24,Kept,126.0
2078,21.278169677505318,1.1584801748003878e-24,Kept,127.0
1216,21.249492330839185,1.2555194236339035e-24,Kept,128.0
746,21.2404546355616,1.2877549308302651e-24,Kept,129.0
1352,21.236230559066612,1.3031038506482598e-24,Kept,130.0
1642,21.224443481714676,1.3469087329526832e-24,Kept,131.0
1789,21.218491220582482,1.3695859336151412e-24,Kept,132.0
839,21.19593190164645,1.4590541085612656e-24,Kept,133.0
1264,21.14572608190997,1.6797060639184924e-24,Kept,134.0
1594,21.134921539596455,1.7313931778809644e-24,Kept,135.0
650,21.123989557244265,1.7853089788240982e-24,Kept,136.0
1208,21.106873895127432,1.8731142990105884e-24,Kept,137.0
1304,21.057788151461796,2.1496242100714158e-24,Kept,138.0
1691,21.057463432627415,2.151583137877024e-24,Kept,139.0
502,21.020063761454832,2.3895727410789086e-24,Kept,140.0
